from,to,proximity
8413,8485,0.551724137931035
3926,8501,0.551724137931035
5911,8501,0.551724137931035
8481,8501,0.551724137931035
7616,8607,0.551724137931035
8432,8607,0.551724137931035
4008,8608,0.551724137931035
8607,8608,0.551724137931035
7320,8708,0.551724137931035
8511,8708,0.551724137931035
8607,8708,0.551724137931035
1103,1104,0.551020408163265
2005,2007,0.551020408163265
2105,4821,0.551020408163265
3214,4821,0.551020408163265
3814,4821,0.551020408163265
6101,6114,0.551020408163265
6101,6201,0.551020408163265
4821,7610,0.551020408163265
1803,1805,0.55
1905,2005,0.55
1905,2105,0.55
1905,3305,0.55
1905,3402,0.55
0203,3821,0.55
1905,3917,0.55
3916,4006,0.55
5408,5515,0.55
5514,5515,0.55
6104,6113,0.55
6104,6115,0.55
4203,6403,0.55
6804,7222,0.55
0401,7314,0.55
4417,7314,0.55
4822,7314,0.55
6810,7314,0.55
3922,7604,0.55
5910,7607,0.55
5910,8207,0.55
7607,8451,0.55
7607,8455,0.55
7318,8456,0.55
7318,8461,0.55
7607,8463,0.55
7222,8464,0.55
7412,8464,0.55
7318,8514,0.55
1704,4818,0.549019607843137
4415,4821,0.549019607843137
4818,4822,0.549019607843137
4818,7310,0.549019607843137
4415,7314,0.549019607843137
1904,2106,0.548387096774194
2106,3209,0.548387096774194
1107,3820,0.548387096774194
3916,3922,0.548387096774194
3922,4008,0.548387096774194
3922,4410,0.548387096774194
4005,4410,0.548387096774194
4008,4410,0.548387096774194
2106,4821,0.548387096774194
5204,5509,0.548387096774194
6202,6406,0.548387096774194
6113,6505,0.548387096774194
6202,6505,0.548387096774194
3922,7008,0.548387096774194
3922,7616,0.548387096774194
4817,7616,0.548387096774194
3926,8419,0.548387096774194
4009,8419,0.548387096774194
8419,8421,0.548387096774194
8419,8428,0.548387096774194
4410,8432,0.548387096774194
8419,8481,0.548387096774194
3922,9401,0.548387096774194
4421,9401,0.548387096774194
0703,0712,0.547619047619048
6110,6113,0.547619047619048
6110,6208,0.547619047619048
6110,6217,0.547619047619048
6110,6403,0.547619047619048
4820,9404,0.547619047619048
6201,6211,0.547169811320755
6207,6211,0.547169811320755
6209,6211,0.547169811320755
1601,1806,0.545454545454545
1806,2105,0.545454545454545
2810,2840,0.545454545454545
3208,3214,0.545454545454545
0209,3821,0.545454545454545
2815,3904,0.545454545454545
3904,3909,0.545454545454545
1601,4418,0.545454545454545
3305,4819,0.545454545454545
3402,4819,0.545454545454545
1601,4822,0.545454545454545
2105,4822,0.545454545454545
3208,4822,0.545454545454545
1601,4911,0.545454545454545
3904,5404,0.545454545454545
3909,5404,0.545454545454545
6103,6108,0.545454545454545
6103,6201,0.545454545454545
6107,6210,0.545454545454545
6114,6210,0.545454545454545
6202,6210,0.545454545454545
6209,6210,0.545454545454545
4819,6211,0.545454545454545
2910,7002,0.545454545454545
7107,7505,0.545454545454545
7505,7508,0.545454545454545
7309,7610,0.545454545454545
7609,8307,0.545454545454545
8417,8465,0.545454545454545
8503,8504,0.545454545454545
8406,8514,0.545454545454545
8459,8515,0.545454545454545
8515,8604,0.545454545454545
9110,9114,0.545454545454545
9111,9114,0.545454545454545
2105,9406,0.545454545454545
8715,9610,0.545454545454545
0105,1704,0.543478260869565
0403,2105,0.543478260869565
6206,6405,0.543478260869565
0702,2520,0.542857142857143
3004,3306,0.542857142857143
6111,6202,0.542857142857143
7210,7212,0.542857142857143
4411,8432,0.542857142857143
0303,0304,0.542168674698795
0105,3402,0.541666666666667
0403,3402,0.541666666666667
2105,3402,0.541666666666667
3402,3814,0.541666666666667
3916,4005,0.541666666666667
3816,4814,0.541666666666667
3209,4901,0.541666666666667
6203,6208,0.541666666666667
6203,6405,0.541666666666667
4005,6815,0.541666666666667
3208,7310,0.541666666666667
3402,7612,0.541666666666667
6815,8407,0.541666666666667
8207,8466,0.541666666666667
8208,8466,0.541666666666667
8422,8466,0.541666666666667
8459,8466,0.541666666666667
8462,8466,0.541666666666667
8466,8476,0.541666666666667
4814,8514,0.541666666666667
8307,9026,0.541666666666667
0703,0708,0.540540540540541
2607,2616,0.540540540540541
3926,7326,0.540540540540541
4008,7326,0.540540540540541
4009,7326,0.540540540540541
6810,7326,0.540540540540541
7326,8432,0.540540540540541
4016,8536,0.540540540540541
7326,8716,0.540540540540541
0709,1904,0.54
1601,1904,0.54
1904,2105,0.54
2103,2105,0.54
2103,3209,0.54
6106,6310,0.54
1101,3923,0.53968253968254
2202,2523,0.539473684210526
0201,0203,0.538461538461538
0401,1602,0.538461538461538
0406,1602,0.538461538461538
2614,2615,0.538461538461538
2813,2920,0.538461538461538
2934,2935,0.538461538461538
3002,3006,0.538461538461538
1904,3305,0.538461538461538
3209,3305,0.538461538461538
0404,3502,0.538461538461538
2931,3701,0.538461538461538
3305,3814,0.538461538461538
2920,3818,0.538461538461538
2903,3911,0.538461538461538
2910,3911,0.538461538461538
2920,3911,0.538461538461538
2931,3911,0.538461538461538
1602,4404,0.538461538461538
3803,4703,0.538461538461538
1602,4822,0.538461538461538
3214,4822,0.538461538461538
3305,4822,0.538461538461538
3922,4822,0.538461538461538
4005,4902,0.538461538461538
3701,5502,0.538461538461538
2708,5907,0.538461538461538
5308,6304,0.538461538461538
6303,6304,0.538461538461538
5503,7208,0.538461538461538
3305,7308,0.538461538461538
7107,7507,0.538461538461538
3911,8103,0.538461538461538
6909,8103,0.538461538461538
2931,8106,0.538461538461538
3911,8106,0.538461538461538
8103,8106,0.538461538461538
4902,8436,0.538461538461538
8483,8484,0.538461538461538
4005,8516,0.538461538461538
8211,9017,0.538461538461538
9108,9110,0.538461538461538
4822,9403,0.538461538461538
1504,2301,0.537037037037037
1904,3917,0.537037037037037
3917,7310,0.537037037037037
3917,8544,0.537037037037037
4911,8431,0.536585365853659
7314,9406,0.536585365853659
9403,9406,0.536585365853659
1501,3926,0.535714285714286
3006,3926,0.535714285714286
2707,4008,0.535714285714286
3820,4008,0.535714285714286
3916,4008,0.535714285714286
4008,4010,0.535714285714286
4008,4902,0.535714285714286
4008,7606,0.535714285714286
5911,8421,0.535714285714286
4008,8422,0.535714285714286
4008,8428,0.535714285714286
5603,8428,0.535714285714286
5910,8428,0.535714285714286
1501,8432,0.535714285714286
4811,8432,0.535714285714286
4008,8434,0.535714285714286
8428,8434,0.535714285714286
