country_code,year,region,export_value,import_value,diversity,diversity_075,hhi,entropy,primary_share,manufacturing_share,eci,diversity_complexity
UZB,2011,Rest of world,6034646644,9789230306,113,128,0.0632516048417641,3.40237430365613,0.341099919089148,0.658900080910852,-0.826826427032728,113
UZB,2012,Rest of world,4905906023,10946224261,117,131,0.0741127043868807,3.37487619994744,0.163302975483842,0.836697024516158,-0.532969273277578,117
UZB,2013,Rest of world,6724541480,12822408379,118,126,0.0945275678675337,3.12824498237561,0.246219356802897,0.753780643197103,-0.549597420066865,118
UZB,2014,Rest of world,5493166017,13502819161,126,138,0.0861780346327812,3.24741461618382,0.256773635938701,0.743226364061299,-0.425404791528717,126
UZB,2015,Rest of world,5382327448,10652290378,112,126,0.111473404564229,3.10679197220079,0.187732271171176,0.812267728828824,-0.65222077969684,112
UZB,2016,Rest of world,6331277548,9940798880,120,131,0.152386645365511,2.98204226921554,0.204788361301516,0.795211638698484,-0.692944601820052,120
UZB,2017,Rest of world,8488788779,12266194716,131,151,0.134259359742489,3.17852572535653,0.246637797983547,0.753362202016453,-0.378872594917298,131
UZB,2018,Rest of world,8168836937,17593189827,132,148,0.112046247674251,3.23403367666049,0.357673680419066,0.642326319580934,-0.405084029122301,132
UZB,2019,Rest of world,11645710680,20559218277,123,141,0.158088178051539,3.00311997475268,0.298312149035803,0.701687850964197,-0.581817446615379,123
UZB,2020,Rest of world,11502483549,19900012944,135,157,0.213113874739987,2.94587152765257,0.185105265130773,0.814894734869227,-0.401849161857227,135
UZB,2021,Rest of world,12503962048,23700123001,178,199,0.094013360496084,3.61578794769499,0.187624161445312,0.812375838554689,-0.240710862121363,178
UZB,2022,Rest of world,14292235623,28286237695,190,217,0.0831064813744098,3.86881335795873,0.211156086395848,0.788843913604152,-0.252417048061862,190
UZB,2023,Rest of world,19957283705,36922755450,178,196,0.173245938755629,3.38251188106448,0.145568460214461,0.854431539785539,-0.211328527854978,178
VAT,2000,Rest of world,3447076,16208837,36,39,0.260762040226992,2.09780404886189,0.126754385455963,0.873245614544037,1.18245986833945,36
VAT,2001,Rest of world,2682396,19168334,32,34,0.283366365776255,2.19008411857507,0.0681890369654592,0.931810963034541,0.424320048893079,32
VAT,2002,Rest of world,4836552,19257429,41,44,0.19583893242805,2.43295420973822,0.0693764896976193,0.930623510302381,0.751706409616752,41
VAT,2003,Rest of world,8611602,23671936,29,31,0.400502589504969,1.41946368659077,0.558073515241415,0.441926484758585,0.906472389207418,29
VAT,2004,Rest of world,2636077,30354761,44,46,0.134140540697732,2.82589968310809,0.0927446353046592,0.907255364695341,0.492942730499137,44
VAT,2005,Rest of world,2451949,51693199,46,50,0.0873862702214385,3.09906118693919,0.229397919777287,0.770602080222713,0.975795632998721,46
VAT,2006,Rest of world,5415896,44564091,58,63,0.0728719097650985,3.10224839339721,0.292093311983834,0.707906688016166,0.758940836667265,58
VAT,2007,Rest of world,4503616,54314766,75,83,0.108575601288206,3.17736685588983,0.372319487274226,0.627680512725774,0.694558368358323,75
VAT,2008,Rest of world,2366737,44833958,60,64,0.0511421474086894,3.49929375263068,0.0717815287461175,0.928218471253883,0.95370865199291,60
VAT,2009,Rest of world,13552630,30085279,53,62,0.37922987138872,1.83323575253309,0.773289759994924,0.226710240005077,-0.215628210312526,53
VAT,2010,Rest of world,4010196,73367888,67,72,0.117626048069216,2.99155295275012,0.0309169427130245,0.969083057286976,1.33750522148911,67
VAT,2011,Rest of world,52431960,77357399,19,23,0.890036873031022,0.41495296815677,0.00196483213673492,0.998035167863265,0.240480830923788,19
VAT,2012,Rest of world,7777161,88748083,54,61,0.164832777163642,2.52615273993391,0.035118470609005,0.964881529390995,0.724481150855258,54
VAT,2013,Rest of world,4597927,86393576,56,69,0.0839005871708346,3.13353135490842,0.117381376433336,0.882618623566664,0.796849530667101,56
VAT,2014,Rest of world,12559715,68462351,143,161,0.087386215950408,3.73750408494397,0.0931387376226292,0.906861262377371,1.2246559952782,143
VAT,2015,Rest of world,24608800,61224295,38,44,0.272757477932717,2.14597626159221,0.0199525779395988,0.980047422060401,0.192169343412594,38
VAT,2016,Rest of world,4953498,43867560,59,63,0.0553635715359703,3.35884140955899,0.0808945516885239,0.919105448311476,0.974899931696181,59
VAT,2017,Rest of world,4554696,68462692,72,78,0.0450314890118601,3.66707186781467,0.250470942517349,0.749529057482651,0.793283351628958,72
VAT,2018,Rest of world,24098663,62070170,38,45,0.646630322328639,1.21929463261084,0.0385226765484874,0.961477323451513,0.128494508241529,38
VAT,2019,Rest of world,5385283,31793629,64,71,0.0981358445679824,3.06902912669853,0.0134670731324612,0.986532926867539,1.31487697216467,64
VAT,2020,Rest of world,11119839,51433539,39,46,0.418048628406588,1.85289862355085,0.00572571239565609,0.994274287604344,0.837824540918489,39
VAT,2021,Rest of world,10626422,84491084,114,124,0.0664892547352819,3.80048730737856,0.0353190377720742,0.964680962227926,1.34518600066264,114
VAT,2022,Rest of world,6172797,77144192,49,57,0.115648020067475,2.94744593846154,0.0888467577987742,0.911153242201226,1.28481483263982,49
VAT,2023,Rest of world,25540467,38970265,35,39,0.483655634092592,1.50095121910668,0.693233330463378,0.306766669536622,0.992867481391647,35
VCT,1995,Rest of world,108796815,221051869,57,65,0.127801888890941,2.79246945517573,0.637441693490752,0.362558306509249,-0.496800005557222,57
VCT,1996,Rest of world,94543621,176294929,64,71,0.12795564806238,2.90368079036841,0.642072583617249,0.357927416382751,-0.269579590287353,64
VCT,1997,Rest of world,149003544,232704716,81,89,0.109424375454473,2.97611825455115,0.393367771171939,0.606632228828061,-0.0625159997271087,81
VCT,1998,Rest of world,127262201,459641404,87,102,0.0924034981931862,3.2007733668848,0.617275635520401,0.382724364479599,0.205704643670549,87
VCT,1999,Rest of world,152164797,311847351,54,61,0.149717921381749,2.58457685820173,0.435681118807,0.564318881193,-0.405744258001535,54
VCT,2000,Rest of world,99939375,279847435,59,68,0.110263218966665,2.90015795989014,0.563894641126183,0.436105358873817,-0.387108684705163,59
VCT,2001,Rest of world,129748481,292140393,47,57,0.111630202581709,2.66446937095795,0.398270103832661,0.601729896167339,-0.596017401473031,47
VCT,2002,Rest of world,152836240,282046609,58,69,0.185676567310531,2.5861331716376,0.295927157066937,0.704072842933064,-0.146845232525633,58
VCT,2003,Rest of world,79978398,321765565,70,79,0.165088637654066,2.67627547425975,0.37329724958982,0.62670275041018,-0.4898501707692,70
VCT,2004,Rest of world,216321157,428516784,39,42,0.344823405065017,1.65216337561482,0.158670961620273,0.841329038379727,-0.73638544417809,39
VCT,2005,Rest of world,156027594,524356039,47,53,0.398488664014822,1.81772614439833,0.178363027247603,0.821636972752397,-0.753888266340992,47
