product_code,product_section,product_chapter,world_export_value,pci_final,ubiquity,product_name,product_name_short,natural_resource,demand_growth,density,opportunity_gain,world_market_size,density_n,pci_n,opportunity_gain_n,world_market_n,demand_growth_n,opportunity_score,distance,opportunity_type
6805,Stone and glass,68,4590487602,1.27405081392648,22,"Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to shape or sewn or otherwise made up",Natural or artificial abrasive powder,FALSE,0.0153629657425312,0.0497692743091435,124.210853796012,4590487602,0.247995974908109,0.673686460723024,0.826767441224684,0.714350547854094,0.647174655265176,0.556726214955458,0.950230725690856,Long shots
8482,Machinery and electrical,84,31457711729,1.29307421771297,23,"Ball or roller bearings, and parts thereof",Ball or roller bearings,FALSE,-0.00620789414020195,0.0438755227133682,129.484170199487,31457711729,0.199876909672472,0.676710356102097,0.863058061945894,0.814079249586941,0.628050223505238,0.555959067109286,0.956124477286632,Long shots
8307,Metals,83,2824255840,1.15330045517132,22,"Flexible tubing of base metal,with or without fittings",Flexible tubing of base metal,FALSE,0.0461833701972598,0.0455361907464259,135.539216142489,2824255840,0.213435301491144,0.654492395562074,0.904728494545427,0.689181216249274,0.674499607771125,0.555639235723544,0.954463809253574,Long shots
9026,Instruments,90,25726909719,1.39356044767775,24,"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases (for example, flow meters, level gauges, manometers, heat meters), excluding instruments and apparatus of heading 9014, 9015, 9028 or 9032",Instruments for measuring properties of liquids or gases,FALSE,0.0354076276619593,0.0445407505130442,122.847554706336,25726909719,0.205308109031487,0.692683304469339,0.817385305504473,0.80365864214197,0.664945980613963,0.555366187654843,0.955459249486956,Long shots
8511,Machinery and electrical,85,20143831526,1.21810160958701,21,"Electrical ignition or starting equipment of a kind used for spark-ignition or compression-ignition internal combustion engines (for example, ignition magnetos, magneto-dynamos, ignition coils, spark plugs and glow plugs, starter motors); generators (for",Electrical ignition equipment,FALSE,0.00348270869601519,0.0475404564793161,124.557679513393,20143831526,0.229798969349088,0.664792966038072,0.829154273267896,0.790982327173078,0.636641780525283,0.555221146205114,0.952459543520684,Long shots
8703,Transport equipment,87,904510561822,0.99480003974062,31,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702),including station wagons and racing cars",Cars,FALSE,0.0464648414971147,0.052693361530827,102.672264697695,904510561822,0.271869452011511,0.629297710153449,0.678540271066257,0.988117325480408,0.674749156407374,0.554473438144421,0.947306638469173,Long shots
9402,Other manufactures,94,4841947509,0.902923263684171,23,"Medical, surgical, dental or veterinary furniture (for example, operating tables, examination tables, hospital beds with mechanical fittings, dentists' chairs); barbers' chairs and similar chairs, having rotating as well as both reclining and elevating mo","Medical, dental or veterinary furniture",FALSE,0.0549343816140804,0.0483710475181671,133.324292121624,4841947509,0.23658026369669,0.614693291213532,0.88948553140471,0.717113952310223,0.682258135784438,0.554310730187633,0.951628952481833,Long shots
8464,Machinery and electrical,84,2516750100,1.40488360784212,20,"Machine tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass",Machine tools for working stone,FALSE,-0.00531504740158839,0.0409880693743686,139.59374046724,2516750100,0.17630252698492,0.69448319538696,0.932631467402796,0.683208012368405,0.628841809312087,0.55305795894007,0.959011930625631,Long shots
3815,Chemicals,38,26542456826,0.740455354670222,20,"Reaction initiators, reaction accelerators and catalytic preparations, not elsewhere specified or included",Catalytic preparations,FALSE,0.0749096365571573,0.0523813321946122,120.759639010258,26542456826,0.269321913361338,0.588867946557619,0.803016405399347,0.805275730212135,0.699967925849508,0.552607303001907,0.947618667805388,Long shots
8501,Machinery and electrical,85,64577067839,1.0892833757173,29,Electric motors and generators (excluding generating sets),Electric motors and generators,FALSE,0.0416971342963142,0.0446657983247465,125.38665789169,64577067839,0.206329051925176,0.644316458967585,0.83485924858344,0.851346338967622,0.670522171877839,0.552452983716942,0.955334201675253,Long shots
