"product_code","product_name_short","product_section","product_chapter","pci_final","ubiquity","density","opportunity_score","relative_category"
"2940","Other sugars, chemically pure","Chemicals","29","1.1511426647301","16","0.0400137572125206","0.54953206507786","Transformational long shots"
"3001","Heparin for therapeutic use","Chemicals","30","0.730379624426946","18","0.0562737296450774","0.508899481277648","Middle-range candidates"
"3002","Serums and vaccines","Chemicals","30","1.79682156928037","18","0.0436848215582935","0.600028475853016","Excluded from relative universe"
"3004","Medicaments, packaged","Chemicals","30","0.741643413284178","33","0.0516916812024646","0.542413047410359","Middle-range candidates"
"302","302","Unknown","","","","","","Network only"
"304","304","Unknown","","","","","","Network only"
"305","305","Unknown","","","","","","Network only"
"306","306","Unknown","","","","","","Network only"
"307","307","Unknown","","","","","","Network only"
"3208","Paints and varnishes, nonaqueous","Chemicals","32","0.348446891884779","44","0.0612102049550931","0.53175004317601","Middle-range candidates"
"3209","Paints and varnishes, aqueous","Chemicals","32","-0.146640102894705","48","0.0655012932824924","0.493746969943623","Middle-range candidates"
"3210","Other paints and varnishes","Chemicals","32","0.2488409686819","46","0.0601349311056573","0.490300352820506","Middle-range candidates"
"3212","Pigments, nonaqueous","Chemicals","32","0.954433593798816","32","0.0505668661593347","0.537217525578928","Transformational long shots"
"3214","Glaziers' putty","Chemicals","32","0.519449372356581","36","0.0576792082671372","0.539446045893374","Excluded from relative universe"
"3305","Hair products","Chemicals","33","0.394136868694093","52","0.0633157055226463","0.525025969287422","Middle-range candidates"
"3306","Dental hygiene products","Chemicals","33","0.291214566584347","35","0.061125167150301","0.500836175529301","Middle-range candidates"
